;Tool  Pocket Z Offset     Diameter     Max RPM Remark
T23    P23    Z+0.000000   D+0.000000   U0     ; 63mm (2.4803) 4 Flute 90 deg Face Mill 14mm loc 50mm oal
T24    P24    Z+0.000000   D+0.000000   U0     ; 50mm (1.9685) 4 Flute 45 deg Face Mill 4mm Loc 50mm oal
T25    P25    Z+0.000000   D+0.000000   U0     ; 38 (.1015) Stub Drill 0.8125 loc 135 deg 15 degH 1.8125 oal
T26    P26    Z+0.000000   D+0.000000   U0     ; M3-0.5 D3 3 Flute Spiral Tap 14mm loc
T27    P27    Z+0.000000   D+0.000000   U0     ; 29 (.1360) Stub Drill 0.9375 loc 135 deg 15 degH 1.9375 oal
T28    P28    Z+0.000000   D+0.000000   U0     ; M4-0.7 D4 3 Flute Spiral Tap 14mm loc
T29    P29    Z+0.000000   D+0.000000   U0     ; 19 (.1660) Stub Drill 1.0625 loc 135 deg 15 degH 2.1250 oal
T30    P1     Z+0.000000   D+0.000000   U0     ; M5-0.8 D4 3 Flute Spiral Tap 19mm loc
T31    P31    Z+0.000000   D+0.000000   U0     ; 8 (.1990) Stub Drill 1.1875 loc 135 deg 15 degH 2.2500 oal
T32    P32    Z+0.000000   D+0.000000   U0     ; M6-1.0 D5 3 Flute Spiral Tap 19mm loc
T33    P33    Z+0.000000   D+0.000000   U0     ; H (.2660) Stub Drill 1.500 loc 135 deg 15 degH 2.6875 oal
T34    P34    Z+0.000000   D+0.000000   U0     ; m8-1.25 D5 3 Flute Spiral Flute Tap 19mm loc
T35    P8     Z+0.000000   D+0.000000   U0     ; 8.5mm (.3346) Stub Drill 43mm loc 135 deg 76mm oal
T36    P9     Z+0.000000   D+0.000000   U0     ; M10-1.50 D6 3 Flute Spiral Flute Tap 19mm loc
T37    P10    Z+0.000000   D+0.000000   U0     ; 1/8 NPT TaP 4 FLUTE LOC 0.7750
T38    P11    Z+0.000000   D+0.000000   U0     ; R (0.3390) JOBBER DRILL 2 FLUTE 135 DEG LOC 3.150
T39    P12    Z+0.000000   D+0.000000   U0     ; 1/4 NPT TAP 4 FLUTE LOC 0.9250
T40    P2     Z+0.000000   D+0.000000   U0     ; 7/16 JOBBER DRILL 2 FLUTE LOC 3.6000
T41    P1     Z+0.000000   D+0.000000   U0     ; 3/4" 4 Flute Ball End Mill 37 Deg Helix 1.625 loc
T42    P2     Z+0.000000   D+0.000000   U0     ; 15/64" carbide jobber drill 2.000" loc
T43    P3     Z+0.000000   D+0.000000   U0     ; 1/2" 3 FLUTE End Mill Undercut 0.750 loc 2.250 reach 0.190 CR
T44    P44    Z+0.000000   D+0.000000   U0     ; 1/4" 4 FLUTE MILL DRILL CHAMFER TOOL 90 DEGREE LOC 0.750
T47    P47    Z+0.000000   D+0.000000   U0     ; 50mm Boring Head 10-125mm 63mm head length
T48    P48    Z+0.000000   D+0.000000   U0     ; 100mm (3.9370) 6 Flute 45 deg Face Mill 4mm Loc
T49    P49    Z+0.000000   D+0.000000   U0     ; W (0.3860) JOBBER DRILL 2 FLUTE 135 DEG LOC 3.150
T50    P50    Z+0.000000   D+0.000000   U0     ; 6 (.2060) Jobber Drill 2.0000 LOC 135 deg 2.7500 oal
T51    P51    Z+0.000000   D+0.000000   U0     ; 5/16-18 THREADMILL 0.6250" LOC
T52    P52    Z+0.000000   D+0.000000   U0     ; #7 Carbide Stub Drill 0.201" 135deg 1.1875" LOC
T53    P53    Z+0.000000   D+0.000000   U0     ; 1/4 Single Point Thread Mill 0.525" LOC
T54    P54    Z+0.000000   D+0.000000   U0     ; #7 (0.201") Jobber Drill 2 Flute 135deg LOC 2.000
T55    P2     Z+0.000000   D+0.000000   U0     ; I (0.2720") Jobber Drill 2 Flute 135 deg LOC 2.5000
T56    P2     Z+0.000000   D+0.000000   U0     ; 15/32" Jobber DRill 135 DEG
T57    P9     Z+0.000000   D+0.000000   U0     ; 31/64" Jobber Drill 135 DEG
T58    P58    Z+0.000000   D+0.000000   U0     ; #4 (0.209) Jobber Drill 135 DEG 2.500 LOC
T59    P59    Z+0.000000   D+0.000000   U0     ; M6 Single Point THREAD MILL 0.6250 LOC
T60    P60    Z+0.000000   D+0.000000   U0     ; 1/2" Jobber Drill 135 DEG
T62    P62    Z+0.000000   D+0.000000   U0     ; 3/8" 3 Flute 45 deg Helix 0.500 loc 2.500 oal
T63    P63    Z+0.000000   D+0.000000   U0     ; M5 SINGLE POINT THREAD MILL
T64    P64    Z+0.000000   D+0.000000   U0     ; 1/2" 5 flute alumacut finisher 1.2500 loc
T65    P65    Z+0.000000   D+0.000000   U0     ; 1/2" 3 Flute 45 deg Helix 0.625 loc 2.500 oal
T66    P66    Z+0.000000   D+0.000000   U0     ; 1/2" 4 flute corn cob rougher 2.000 loc
T68    P68    Z+0.000000   D+0.000000   U0     ; F (0.2570) Jobber Drill 2 Flute 135 DEG 2.650 LOC
T69    P69    Z+0.000000   D+0.000000   U0     ; 1/2" 3 flute chip breaker 1.6250 LOC
T70    P70    Z+0.000000   D+0.000000   U0     ; 3/4" 3 flute 45 deg Helix 3.250 loc 6.000 oal
T71    P71    Z+0.000000   D+0.000000   U0     ; B (0.2380) JOBBER DRILL 2 FLUTE 135 DEG LOC 2.6250
T73    P73    Z+0.000000   D+0.000000   U0     ; 11.5mm 2 Flute Cobalt jobber Drill 2.875 LOC
T74    P74    Z+0.000000   D+0.000000   U0     ; 15/64" (0.2344) Carbide Stub Drill 135deg 1.3125" LOC
T99    P12    Z+0.000000   D+0.000000   U0     ; Probe Tool 0.125" ball Probe Tip
T100   P100   Z+0.000000   D+0.000000   U0     ; Spindle Nose
T101   P101   Z+0.000000   D+0.000000   U0     ; 3/16" Internal groove tool
T102   P102   Z+0.000000   D+0.000000   U0     ; 0.3540 Reamer 1.750 LOC
T103   P103   Z+0.000000   D+0.000000   U0     ; 11.5mm jobber drill 2 flute 135deg 2.875 loc
T104   P104   Z+0.000000   D+0.000000   U0     ; 29/64" Reamer 1.750 LOC
T105   P105   Z+0.000000   D+0.000000   U0     ; 7/32" (0.2188") Jobber Drill 2 Flute 135 deg LOC 2.250
T106   P106   Z+0.000000   D+0.000000   U0     ; Surface bit
